Role,Name,Start,End,Count
Internal Improvements,Internal Improvements,1846-01-02,1846-12-31,1
Currency,Currency,1818-01-02,1818-12-31,1
Currency,Currency,1832-01-02,1839-12-31,69
Currency,Currency,1841-01-02,1841-12-31,1
Currency,Currency,1843-01-02,1843-12-31,1
Currency,Currency,1849-01-02,1849-12-31,1
Currency,Currency,1857-01-02,1860-12-31,6
Currency,Currency,1863-01-02,1864-12-31,5
Economic Theory,Economic Theory,1818-01-02,1818-12-31,1
Economic Theory,Economic Theory,1832-01-02,1837-12-31,56
Economic Theory,Economic Theory,1839-01-02,1839-12-31,1
Family Finances (Taney Family),Family Finances (Taney Family),1825-01-02,1825-12-31,1
Family Finances (Taney Family),Family Finances (Taney Family),1831-01-02,1834-12-31,22
Family Finances (Taney Family),Family Finances (Taney Family),1837-01-02,1837-12-31,2
Family Finances (Taney Family),Family Finances (Taney Family),1843-01-02,1845-12-31,7
Family Finances (Taney Family),Family Finances (Taney Family),1847-01-02,1848-12-31,5
Family Finances (Taney Family),Family Finances (Taney Family),1853-01-02,1853-12-31,1
Family Finances (Taney Family),Family Finances (Taney Family),1855-01-02,1864-12-31,87
Family Finances (Taney Family),Family Finances (Taney Family),1866-01-02,1866-12-31,2
Bank of the United States,Bank of the United States,1829-01-02,1829-12-31,1
Bank of the United States,Bank of the United States,1831-01-02,1841-12-31,185
Bank of the United States,Bank of the United States,1843-01-02,1844-12-31,3
Bank of the United States,Bank of the United States,1849-01-02,1849-12-31,1
Bank of the United States,Bank of the United States,1857-01-02,1857-12-31,1
Bank of the United States,Bank of the United States,1860-01-02,1860-12-31,5
Bank of the United States,Bank of the United States,1866-01-02,1866-12-31,1
Bank Veto,Bank Veto,1831-01-02,1834-12-31,12
Bank Veto,Bank Veto,1849-01-02,1849-12-31,1
Bank Veto,Bank Veto,1860-01-02,1860-12-31,2
"Banks, Pet","Banks, Pet",1831-01-02,1838-12-31,197
"Banks, Pet","Banks, Pet",1849-01-02,1849-12-31,1
"Banks, Pet","Banks, Pet",1866-01-02,1866-12-31,1
Contracts,Contracts,1831-01-02,1834-12-31,13
Contracts,Contracts,1836-01-02,1836-12-31,1
Corporations,Corporations,1832-01-02,1838-12-31,21
Corporations,Corporations,1863-01-02,1863-12-31,1
Merchants,Merchants,1832-01-02,1834-12-31,12
Merchants,Merchants,1836-01-02,1839-12-31,7
Merchants,Merchants,1849-01-02,1849-12-31,1
Merchants,Merchants,1860-01-02,1860-12-31,1
Merchants,Merchants,1862-01-02,1862-12-31,1
Tariff of 1832,Tariff of 1832,1832-01-02,1833-12-31,2
Bank Failures,Bank Failures,1833-01-02,1837-12-31,41
Commerce,Commerce,1833-01-02,1834-12-31,2
Removal of Deposits,Removal of Deposits,1833-01-02,1834-12-31,55
Removal of Deposits,Removal of Deposits,1836-01-02,1837-12-31,4
Removal of Deposits,Removal of Deposits,1840-01-02,1841-12-31,2
Removal of Deposits,Removal of Deposits,1849-01-02,1849-12-31,1
Removal of Deposits,Removal of Deposits,1860-01-02,1860-12-31,4
Tariff of 1828,Tariff of 1828,1833-01-02,1833-12-31,1
Tariff of 1833,Tariff of 1833,1833-01-02,1833-12-31,1
Transfer Drafts,Transfer Drafts,1833-01-02,1835-12-31,54
Financial Panics,Financial Panics,1834-01-02,1834-12-31,2
Financial Panics,Financial Panics,1836-01-02,1836-12-31,1
Financial Panics,Financial Panics,1860-01-02,1860-12-31,1
Tariffs,Tariffs,1834-01-02,1834-12-31,1
Tariffs,Tariffs,1861-01-02,1862-12-31,3
Specie Circular,Specie Circular,1836-01-02,1837-12-31,3
Panic of 1837,Panic of 1837,1837-01-02,1838-12-31,4
Panic of 1837,Panic of 1837,1841-01-02,1841-12-31,1
Independent Treasury,Independent Treasury,1841-01-02,1841-12-31,1
Embargo,Embargo,1849-01-02,1849-12-31,1
 • Economics • ,Economics,1817-01-02,1817-12-31,1
 • Economics • ,Economics,1818-01-02,1818-12-31,2
 • Economics • ,Economics,1825-01-02,1825-12-31,1
 • Economics • ,Economics,1829-01-02,1829-12-31,1
 • Economics • ,Economics,1831-01-02,1841-12-31,791
 • Economics • ,Economics,1843-01-02,1845-12-31,11
 • Economics • ,Economics,1846-01-02,1846-12-31,1
 • Economics • ,Economics,1847-01-02,1848-12-31,5
 • Economics • ,Economics,1849-01-02,1849-12-31,7
 • Economics • ,Economics,1853-01-02,1853-12-31,1
 • Economics • ,Economics,1855-01-02,1864-12-31,117
 • Economics • ,Economics,1866-01-02,1866-12-31,4
 • Elections • ,"Elections, State and Local",1830-01-02,1830-12-31,0
 • Elections • ,"Elections, State and Local",1832-01-02,1839-12-31,0
 • Elections • ,"Elections, State and Local",1841-01-02,1841-12-31,0
 • Elections • ,"Elections, State and Local",1844-01-02,1844-12-31,0
 • Elections • ,"Elections, State and Local",1848-01-02,1848-12-31,0
 • Elections • ,"Elections, State and Local",1855-01-02,1856-12-31,0
 • Elections • ,"Elections, Presidential",1831-01-02,1836-12-31,0
 • Elections • ,"Elections, Presidential",1838-01-02,1838-12-31,0
 • Elections • ,"Elections, Presidential",1841-01-02,1841-12-31,0
 • Elections • ,"Elections, Presidential",1844-01-02,1844-12-31,0
 • Elections • ,"Elections, Presidential",1847-01-02,1847-12-31,0
 • Elections • ,"Elections, Presidential",1849-01-02,1849-12-31,0
 • Elections • ,"Elections, Presidential",1856-01-02,1856-12-31,0
 • Elections • ,"Elections, Presidential",1860-01-02,1860-12-31,0
 • Elections • ,"Elections, Congressional",1833-01-02,1835-12-31,0
 • Elections • ,"Elections, Congressional",1838-01-02,1839-12-31,0
 • Elections • ,"Elections, Congressional",1841-01-02,1841-12-31,0
 • Elections • ,"Elections, Congressional",1845-01-02,1845-12-31,0
 • Elections • ,Elections,1830-01-02,1830-12-31
"Elections, State and Local","Elections, State and Local",1830-01-02,1830-12-31,1
"Elections, State and Local","Elections, State and Local",1832-01-02,1839-12-31,23
"Elections, State and Local","Elections, State and Local",1841-01-02,1841-12-31,2
"Elections, State and Local","Elections, State and Local",1844-01-02,1844-12-31,2
"Elections, State and Local","Elections, State and Local",1848-01-02,1848-12-31,1
"Elections, State and Local","Elections, State and Local",1855-01-02,1856-12-31,3
"Elections, Presidential","Elections, Presidential",1831-01-02,1836-12-31,18
"Elections, Presidential","Elections, Presidential",1838-01-02,1838-12-31,1
"Elections, Presidential","Elections, Presidential",1841-01-02,1841-12-31,1
"Elections, Presidential","Elections, Presidential",1844-01-02,1844-12-31,6
"Elections, Presidential","Elections, Presidential",1847-01-02,1847-12-31,1
"Elections, Presidential","Elections, Presidential",1849-01-02,1849-12-31,1
"Elections, Presidential","Elections, Presidential",1856-01-02,1856-12-31,3
"Elections, Presidential","Elections, Presidential",1860-01-02,1860-12-31,2
"Elections, Congressional","Elections, Congressional",1833-01-02,1835-12-31,12
"Elections, Congressional","Elections, Congressional",1838-01-02,1839-12-31,2
"Elections, Congressional","Elections, Congressional",1841-01-02,1841-12-31,1
"Elections, Congressional","Elections, Congressional",1845-01-02,1845-12-31,1
 • Elections • ,Elections,1831-01-02,1839-12-31,56
 • Elections • ,Elections,1841-01-02,1841-12-31,4
 • Elections • ,Elections,1844-01-02,1844-12-31,8
 • Elections • ,Elections,1845-01-02,1845-12-31,1
 • Elections • ,Elections,1847-01-02,1847-12-31,1
 • Elections • ,Elections,1848-01-02,1848-12-31,1
 • Elections • ,Elections,1849-01-02,1849-12-31,1
 • Elections • ,Elections,1855-01-02,1856-12-31,6
 • Elections • ,Elections,1860-01-02,1860-12-31,2
 • Political Groups • ,Democratic Party,1827-01-02,1828-12-31,0
 • Political Groups • ,Democratic Party,1830-01-02,1839-12-31,0
 • Political Groups • ,Democratic Party,1844-01-02,1844-12-31,0
 • Political Groups • ,Democratic Party,1849-01-02,1849-12-31,0
 • Political Groups • ,Democratic Party,1860-01-02,1860-12-31,0
 • Political Groups • ,Whig Party,1831-01-02,1832-12-31,0
 • Political Groups • ,Whig Party,1834-01-02,1841-12-31,0
 • Political Groups • ,Whig Party,1844-01-02,1844-12-31,0
 • Political Groups • ,Whig Party,1849-01-02,1849-12-31,0
 • Political Groups • ,Union,1833-01-02,1833-12-31,0
 • Political Groups • ,Union,1841-01-02,1841-12-31,0
 • Political Groups • ,Union,1846-01-02,1846-12-31,0
 • Political Groups • ,Union,1856-01-02,1856-12-31,0
 • Political Groups • ,Federalist Party,1838-01-02,1838-12-31,0
 • Political Groups • ,Federalist Party,1847-01-02,1847-12-31,0
 • Political Groups • ,Federalist Party,1849-01-02,1849-12-31,0
 • Political Groups • ,American Party,1844-01-02,1844-12-31,0
 • Political Groups • ,American Party,1855-01-02,1856-12-31,0
 • Political Groups • ,Hartford Convention,1849-01-02,1849-12-31,0
 • Political Groups • ,Political Groups,1827-01-02,1828-12-31
Democratic Party,Democratic Party,1827-01-02,1828-12-31,2
Democratic Party,Democratic Party,1830-01-02,1839-12-31,33
Democratic Party,Democratic Party,1844-01-02,1844-12-31,2
Democratic Party,Democratic Party,1849-01-02,1849-12-31,1
Democratic Party,Democratic Party,1860-01-02,1860-12-31,1
Whig Party,Whig Party,1831-01-02,1832-12-31,3
Whig Party,Whig Party,1834-01-02,1841-12-31,16
Whig Party,Whig Party,1844-01-02,1844-12-31,2
Whig Party,Whig Party,1849-01-02,1849-12-31,1
Union,Union,1833-01-02,1833-12-31,1
Union,Union,1841-01-02,1841-12-31,1
Union,Union,1846-01-02,1846-12-31,1
Union,Union,1856-01-02,1856-12-31,1
Federalist Party,Federalist Party,1838-01-02,1838-12-31,1
Federalist Party,Federalist Party,1847-01-02,1847-12-31,1
Federalist Party,Federalist Party,1849-01-02,1849-12-31,1
American Party,American Party,1844-01-02,1844-12-31,1
American Party,American Party,1855-01-02,1856-12-31,5
Hartford Convention,Hartford Convention,1849-01-02,1849-12-31,1
 • Political Groups • ,Political Groups,1830-01-02,1841-12-31,55
 • Political Groups • ,Political Groups,1844-01-02,1844-12-31,5
 • Political Groups • ,Political Groups,1846-01-02,1846-12-31,1
 • Political Groups • ,Political Groups,1847-01-02,1847-12-31,1
 • Political Groups • ,Political Groups,1849-01-02,1849-12-31,4
 • Political Groups • ,Political Groups,1855-01-02,1856-12-31,6
 • Political Groups • ,Political Groups,1860-01-02,1860-12-31,1
 • Government • ,Patronage,1799-01-02,1799-12-31,0
 • Government • ,Patronage,1801-01-02,1801-12-31,0
 • Government • ,Patronage,1814-01-02,1814-12-31,0
 • Government • ,Patronage,1820-01-02,1820-12-31,0
 • Government • ,Patronage,1826-01-02,1841-12-31,0
 • Government • ,Patronage,1844-01-02,1846-12-31,0
 • Government • ,Patronage,1848-01-02,1849-12-31,0
 • Government • ,Patronage,1854-01-02,1855-12-31,0
 • Government • ,Patronage,1860-01-02,1860-12-31,0
 • Government • ,Patronage,1862-01-02,1863-12-31,0
 • Government • ,Maryland Judiciary,1813-01-02,1814-12-31,0
 • Government • ,Maryland Judiciary,1817-01-02,1817-12-31,0
 • Government • ,Maryland Judiciary,1825-01-02,1828-12-31,0
 • Government • ,Maryland Judiciary,1830-01-02,1833-12-31,0
 • Government • ,Maryland Judiciary,1837-01-02,1837-12-31,0
 • Government • ,Maryland Judiciary,1848-01-02,1848-12-31,0
 • Government • ,Maryland Judiciary,1855-01-02,1856-12-31,0
 • Government • ,Maryland Judiciary,1860-01-02,1861-12-31,0
 • Government • ,Maryland Judiciary,1864-01-02,1864-12-31,0
 • Government • ,Maryland Legislature,1813-01-02,1813-12-31,0
 • Government • ,Maryland Legislature,1817-01-02,1820-12-31,0
 • Government • ,Maryland Legislature,1825-01-02,1825-12-31,0
 • Government • ,Maryland Legislature,1827-01-02,1827-12-31,0
 • Government • ,Maryland Legislature,1830-01-02,1830-12-31,0
 • Government • ,Maryland Legislature,1832-01-02,1832-12-31,0
 • Government • ,Maryland Legislature,1836-01-02,1837-12-31,0
 • Government • ,Maryland Legislature,1842-01-02,1843-12-31,0
 • Government • ,Maryland Legislature,1860-01-02,1860-12-31,0
 • Government • ,Postal Service,1814-01-02,1814-12-31,0
 • Government • ,Postal Service,1816-01-02,1816-12-31,0
 • Government • ,Postal Service,1818-01-02,1818-12-31,0
 • Government • ,Postal Service,1822-01-02,1822-12-31,0
 • Government • ,Postal Service,1827-01-02,1827-12-31,0
 • Government • ,Postal Service,1830-01-02,1844-12-31,0
 • Government • ,Postal Service,1847-01-02,1847-12-31,0
 • Government • ,Postal Service,1855-01-02,1856-12-31,0
 • Government • ,Postal Service,1860-01-02,1864-12-31,0
 • Government • ,Taxing Power,1818-01-02,1818-12-31,0
 • Government • ,Taxing Power,1836-01-02,1836-12-31,0
 • Government • ,Taxing Power,1863-01-02,1863-12-31,0
 • Government • ,Comity,1828-01-02,1828-12-31,0
 • Government • ,Comity,1843-01-02,1843-12-31,0
 • Government • ,Attorney General,1831-01-02,1834-12-31,0
 • Government • ,Attorney General,1836-01-02,1836-12-31,0
 • Government • ,Attorney General,1844-01-02,1844-12-31,0
 • Government • ,Bank War,1831-01-02,1841-12-31,0
 • Government • ,Bank War,1844-01-02,1844-12-31,0
 • Government • ,Bank War,1849-01-02,1849-12-31,0
 • Government • ,Bank War,1857-01-02,1857-12-31,0
 • Government • ,Bank War,1860-01-02,1860-12-31,0
 • Government • ,Bank War,1866-01-02,1866-12-31,0
 • Government • ,Cabinet,1831-01-02,1833-12-31,0
 • Government • ,Cabinet,1835-01-02,1835-12-31,0
 • Government • ,Cabinet,1837-01-02,1840-12-31,0
 • Government • ,Cabinet,1845-01-02,1845-12-31,0
 • Government • ,Cabinet,1847-01-02,1847-12-31,0
 • Government • ,Cabinet,1849-01-02,1849-12-31,0
 • Government • ,Cabinet,1860-01-02,1860-12-31,0
 • Government • ,Senate,1831-01-02,1837-12-31,0
 • Government • ,Senate,1840-01-02,1841-12-31,0
 • Government • ,Senate,1847-01-02,1847-12-31,0
 • Government • ,Senate,1849-01-02,1849-12-31,0
 • Government • ,Senate,1860-01-02,1860-12-31,0
 • Government • ,Separation of Powers,1831-01-02,1834-12-31,0
 • Government • ,Separation of Powers,1836-01-02,1837-12-31,0
 • Government • ,Separation of Powers,1839-01-02,1839-12-31,0
 • Government • ,Separation of Powers,1857-01-02,1857-12-31,0
 • Government • ,Separation of Powers,1860-01-02,1860-12-31,0
 • Government • ,Separation of Powers,1863-01-02,1864-12-31,0
 • Government • ,War Department,1831-01-02,1835-12-31,0
 • Government • ,Congress,1832-01-02,1841-12-31,0
 • Government • ,Congress,1845-01-02,1846-12-31,0
 • Government • ,Congress,1848-01-02,1849-12-31,0
 • Government • ,Congress,1854-01-02,1856-12-31,0
 • Government • ,Congress,1859-01-02,1860-12-31,0
 • Government • ,Congress,1863-01-02,1864-12-31,0
 • Government • ,Federalism,1832-01-02,1834-12-31,0
 • Government • ,Federalism,1836-01-02,1837-12-31,0
 • Government • ,Federalism,1841-01-02,1841-12-31,0
 • Government • ,Federalism,1856-01-02,1856-12-31,0
 • Government • ,House of Representatives,1832-01-02,1834-12-31,0
 • Government • ,House of Representatives,1836-01-02,1837-12-31,0
 • Government • ,House of Representatives,1840-01-02,1840-12-31,0
 • Government • ,House of Representatives,1849-01-02,1849-12-31,0
 • Government • ,President,1832-01-02,1834-12-31,0
 • Government • ,President,1836-01-02,1838-12-31,0
 • Government • ,President,1840-01-02,1841-12-31,0
 • Government • ,President,1845-01-02,1845-12-31,0
 • Government • ,President,1849-01-02,1849-12-31,0
 • Government • ,President,1860-01-02,1861-12-31,0
 • Government • ,President,1864-01-02,1864-12-31,0
 • Government • ,Territories,1832-01-02,1833-12-31,0
 • Government • ,Territories,1838-01-02,1838-12-31,0
 • Government • ,Territories,1846-01-02,1846-12-31,0
 • Government • ,Treasury Department,1832-01-02,1838-12-31,0
 • Government • ,Treasury Department,1840-01-02,1840-12-31,0
 • Government • ,Treasury Department,1863-01-02,1863-12-31,0
 • Government • ,US Constitution,1832-01-02,1834-12-31,0
 • Government • ,US Constitution,1836-01-02,1836-12-31,0
 • Government • ,US Constitution,1838-01-02,1838-12-31,0
 • Government • ,US Constitution,1841-01-02,1841-12-31,0
 • Government • ,US Constitution,1849-01-02,1849-12-31,0
 • Government • ,US Constitution,1856-01-02,1856-12-31,0
 • Government • ,US Constitution,1860-01-02,1860-12-31,0
 • Government • ,US Constitution,1863-01-02,1864-12-31,0
 • Government • ,Veto Power,1832-01-02,1832-12-31,0
 • Government • ,Veto Power,1834-01-02,1834-12-31,0
 • Government • ,Veto Power,1836-01-02,1836-12-31,0
 • Government • ,Veto Power,1860-01-02,1860-12-31,0
 • Government • ,States Rights,1841-01-02,1841-12-31,0
 • Government • ,Government,1799-01-02,1799-12-31
Patronage,Patronage,1799-01-02,1799-12-31,1
Patronage,Patronage,1801-01-02,1801-12-31,1
Patronage,Patronage,1814-01-02,1814-12-31,1
Patronage,Patronage,1820-01-02,1820-12-31,1
Patronage,Patronage,1826-01-02,1841-12-31,67
Patronage,Patronage,1844-01-02,1846-12-31,5
Patronage,Patronage,1848-01-02,1849-12-31,2
Patronage,Patronage,1854-01-02,1855-12-31,2
Patronage,Patronage,1860-01-02,1860-12-31,1
Patronage,Patronage,1862-01-02,1863-12-31,4
Maryland Judiciary,Maryland Judiciary,1813-01-02,1814-12-31,3
Maryland Judiciary,Maryland Judiciary,1817-01-02,1817-12-31,1
Maryland Judiciary,Maryland Judiciary,1825-01-02,1828-12-31,7
Maryland Judiciary,Maryland Judiciary,1830-01-02,1833-12-31,6
Maryland Judiciary,Maryland Judiciary,1837-01-02,1837-12-31,2
Maryland Judiciary,Maryland Judiciary,1848-01-02,1848-12-31,2
Maryland Judiciary,Maryland Judiciary,1855-01-02,1856-12-31,3
Maryland Judiciary,Maryland Judiciary,1860-01-02,1861-12-31,2
Maryland Judiciary,Maryland Judiciary,1864-01-02,1864-12-31,1
Maryland Legislature,Maryland Legislature,1813-01-02,1813-12-31,1
Maryland Legislature,Maryland Legislature,1817-01-02,1820-12-31,6
Maryland Legislature,Maryland Legislature,1825-01-02,1825-12-31,1
Maryland Legislature,Maryland Legislature,1827-01-02,1827-12-31,1
Maryland Legislature,Maryland Legislature,1830-01-02,1830-12-31,3
Maryland Legislature,Maryland Legislature,1832-01-02,1832-12-31,1
Maryland Legislature,Maryland Legislature,1836-01-02,1837-12-31,9
Maryland Legislature,Maryland Legislature,1842-01-02,1843-12-31,3
Maryland Legislature,Maryland Legislature,1860-01-02,1860-12-31,1
Postal Service,Postal Service,1814-01-02,1814-12-31,1
Postal Service,Postal Service,1816-01-02,1816-12-31,1
Postal Service,Postal Service,1818-01-02,1818-12-31,1
Postal Service,Postal Service,1822-01-02,1822-12-31,1
Postal Service,Postal Service,1827-01-02,1827-12-31,1
Postal Service,Postal Service,1830-01-02,1844-12-31,33
Postal Service,Postal Service,1847-01-02,1847-12-31,1
Postal Service,Postal Service,1855-01-02,1856-12-31,5
Postal Service,Postal Service,1860-01-02,1864-12-31,27
Taxing Power,Taxing Power,1818-01-02,1818-12-31,1
Taxing Power,Taxing Power,1836-01-02,1836-12-31,2
Taxing Power,Taxing Power,1863-01-02,1863-12-31,1
Comity,Comity,1828-01-02,1828-12-31,1
Comity,Comity,1843-01-02,1843-12-31,1
Attorney General,Attorney General,1831-01-02,1834-12-31,57
Attorney General,Attorney General,1836-01-02,1836-12-31,2
Attorney General,Attorney General,1844-01-02,1844-12-31,2
Bank War,Bank War,1831-01-02,1841-12-31,121
Bank War,Bank War,1844-01-02,1844-12-31,1
Bank War,Bank War,1849-01-02,1849-12-31,1
Bank War,Bank War,1857-01-02,1857-12-31,1
Bank War,Bank War,1860-01-02,1860-12-31,4
Bank War,Bank War,1866-01-02,1866-12-31,1
Cabinet,Cabinet,1831-01-02,1833-12-31,21
Cabinet,Cabinet,1835-01-02,1835-12-31,1
Cabinet,Cabinet,1837-01-02,1840-12-31,4
Cabinet,Cabinet,1845-01-02,1845-12-31,1
Cabinet,Cabinet,1847-01-02,1847-12-31,1
Cabinet,Cabinet,1849-01-02,1849-12-31,1
Cabinet,Cabinet,1860-01-02,1860-12-31,3
Senate,Senate,1831-01-02,1837-12-31,40
Senate,Senate,1840-01-02,1841-12-31,4
Senate,Senate,1847-01-02,1847-12-31,1
Senate,Senate,1849-01-02,1849-12-31,1
Senate,Senate,1860-01-02,1860-12-31,1
Separation of Powers,Separation of Powers,1831-01-02,1834-12-31,15
Separation of Powers,Separation of Powers,1836-01-02,1837-12-31,6
Separation of Powers,Separation of Powers,1839-01-02,1839-12-31,1
Separation of Powers,Separation of Powers,1857-01-02,1857-12-31,1
Separation of Powers,Separation of Powers,1860-01-02,1860-12-31,2
Separation of Powers,Separation of Powers,1863-01-02,1864-12-31,3
War Department,War Department,1831-01-02,1835-12-31,12
Congress,Congress,1832-01-02,1841-12-31,88
Congress,Congress,1845-01-02,1846-12-31,2
Congress,Congress,1848-01-02,1849-12-31,2
Congress,Congress,1854-01-02,1856-12-31,4
Congress,Congress,1859-01-02,1860-12-31,4
Congress,Congress,1863-01-02,1864-12-31,2
Federalism,Federalism,1832-01-02,1834-12-31,14
Federalism,Federalism,1836-01-02,1837-12-31,3
Federalism,Federalism,1841-01-02,1841-12-31,1
Federalism,Federalism,1856-01-02,1856-12-31,1
House of Representatives,House of Representatives,1832-01-02,1834-12-31,27
House of Representatives,House of Representatives,1836-01-02,1837-12-31,10
House of Representatives,House of Representatives,1840-01-02,1840-12-31,1
House of Representatives,House of Representatives,1849-01-02,1849-12-31,1
President,President,1832-01-02,1834-12-31,18
President,President,1836-01-02,1838-12-31,4
President,President,1840-01-02,1841-12-31,3
President,President,1845-01-02,1845-12-31,1
President,President,1849-01-02,1849-12-31,1
President,President,1860-01-02,1861-12-31,2
President,President,1864-01-02,1864-12-31,1
Territories,Territories,1832-01-02,1833-12-31,9
Territories,Territories,1838-01-02,1838-12-31,1
Territories,Territories,1846-01-02,1846-12-31,1
Treasury Department,Treasury Department,1832-01-02,1838-12-31,188
Treasury Department,Treasury Department,1840-01-02,1840-12-31,1
Treasury Department,Treasury Department,1863-01-02,1863-12-31,1
US Constitution,US Constitution,1832-01-02,1834-12-31,7
US Constitution,US Constitution,1836-01-02,1836-12-31,2
US Constitution,US Constitution,1838-01-02,1838-12-31,1
US Constitution,US Constitution,1841-01-02,1841-12-31,1
US Constitution,US Constitution,1849-01-02,1849-12-31,1
US Constitution,US Constitution,1856-01-02,1856-12-31,1
US Constitution,US Constitution,1860-01-02,1860-12-31,1
US Constitution,US Constitution,1863-01-02,1864-12-31,2
Veto Power,Veto Power,1832-01-02,1832-12-31,2
Veto Power,Veto Power,1834-01-02,1834-12-31,1
Veto Power,Veto Power,1836-01-02,1836-12-31,1
Veto Power,Veto Power,1860-01-02,1860-12-31,1
States Rights,States Rights,1841-01-02,1841-12-31,1
 • Government • ,Government,1801-01-02,1801-12-31,1
 • Government • ,Government,1813-01-02,1814-12-31,6
 • Government • ,Government,1816-01-02,1816-12-31,1
 • Government • ,Government,1817-01-02,1820-12-31,10
 • Government • ,Government,1822-01-02,1822-12-31,1
 • Government • ,Government,1825-01-02,1846-12-31,1008
 • Government • ,Government,1847-01-02,1847-12-31,3
 • Government • ,Government,1848-01-02,1849-12-31,13
 • Government • ,Government,1854-01-02,1856-12-31,16
 • Government • ,Government,1857-01-02,1857-12-31,3
 • Government • ,Government,1859-01-02,1864-12-31,69
 • Government • ,Government,1866-01-02,1866-12-31,2
 • Politics • ,Corruption,1832-01-02,1834-12-31,0
